name,ats_type,careers_url,industry,sponsorship_history,english_friendly,remote_score
ABN AMRO,official_careers,https://www.werkenbijabnamro.nl/en/vacancies,Banking,75,75,45
About You,official_careers,https://corporate.aboutyou.de/en/career/jobs,Fashion,75,85,55
adjoe,official_careers,https://adjoe.io/careers/open-positions/,AdTech,75,85,60
Airbyte,official_careers,https://airbyte.com/company/careers#open-roles,Data,80,95,80
Amazon Italia,official_careers,https://www.amazon.jobs/content/en/locations/italy,Logistics/E-commerce,30,75,75
American Express,official_careers,https://careers.americanexpress.com/en/sites/CX_1/jobs?mode=location,Finance,70,80,55
Angelini Pharma,official_careers,https://careers.angelinipharma.com/search/?createNewAlert=false&q=&optionsFacetsDD_customfield2=,Pharma/Healthcare,30,70,50
Anymind Group,official_careers,https://anymindgroup.com/career/#positions,AdTech,70,80,55
Appodeal,official_careers,https://appodeal.com/career/,AdTech,70,80,55
ASML,official_careers,https://www.asml.com/en/careers/find-your-job,Engineering,85,85,60
Audible,official_careers,https://www.audiblecareers.com/search-jobs,Media,80,85,60
Babbel,official_careers,https://jobs.babbel.com/en?size=n_3_n,EdTech,80,85,60
Barilla Group,official_careers,https://jobs.barillagroup.com/search,Food/Manufacturing,35,75,55
Bolt,official_careers,https://bolt.eu/en/careers/positions/,Mobility,75,85,60
Booking.com,official_careers,https://jobs.booking.com/booking/jobs,Travel,85,90,45
Buena,official_careers,https://buena.com/careers,PropTech,70,80,55
Bunq,official_careers,https://careers.bunq.com/positions,Fintech,80,85,60
Bynder,official_careers,https://careers.bynder.com/openings/,SaaS,75,90,70
Caeli Wind,official_careers,https://www.caeli-wind.de/karriere#stellenangebote,CleanTech,70,75,50
Cal.com,official_careers,https://cal.com/jobs,SaaS,75,95,100
Catawiki,official_careers,https://careers.tellent.com/open-positions,E-Commerce,75,85,60
Celonis,official_careers,https://careers.celonis.com/join-us/open-positions,Enterprise,80,85,60
Choco,official_careers,https://choco.com/us/careers/open-roles,Food Tech,80,85,60
ClearVue,official_careers,https://clearvue.business/careers/,BI Software,70,80,55
Conad,official_careers,https://chisiamo.conad.it/lavora-con-noi/posizioni-aperte,Retail/Supermarket,20,60,65
Coop Italia,official_careers,https://jobs.coopjobs.ch/?lang=it,Retail/Supermarket,20,60,70
Databricks,official_careers,https://www.databricks.com/company/careers/open-positions,Data/AI,85,95,75
Decathlon Italia Retail,official_careers,https://lavoraconnoi.decathlon-careers.it/it/annonces,Retail/Sports,25,70,65
Deliveroo,official_careers,https://careers.deliveroo.co.uk/join-the-team/,Food Tech,80,90,55
Deliveroo,official_careers,https://careers.detectify.com/#jobs,Cybersecurity,75,90,70
DevsData,official_careers,https://devsdata.com/careers/,Recruitment,70,80,35
Doctolib,official_careers,https://careers.doctolib.com/jobs/,HealthTech,80,85,55
Doist,official_careers,https://doist.com/careers#open-roles,Productivity,70,95,100
Dbt Labs,official_careers,https://www.getdbt.com/about-us/careers#roles,SasS,80,95,85
Elastic Sales,official_careers,https://jobs.elastic.co/jobs/department/field-operations?size=n_20_n,Search/Cloud,85,95,85
Elastic Finance,official_careers,"https://jobs.elastic.co/jobs/department/finance,-it-&-operations?size=n_20_n",Search/Cloud,85,95,85
