name,country,ats_type,careers_url,ats_board_token,industry,sponsorship_history,english_friendly,remote_score
# ── Germany / DACH ──────────────────────────────────────────────────────────,,,,,,,,
Cargo.one,Germany,ashby,https://jobs.ashbyhq.com/cargo-one,cargo-one,Logistics Tech,75,80,55
Crealytics,Germany,personio,https://crealytics.jobs.personio.de/,crealytics,Retail Media,75,80,55
Caeli Wind,Germany,official_careers,https://www.caeli-wind.de/karriere#stellenangebote,,CleanTech,70,75,40
ClearVue,Germany,official_careers,https://clearvue.business/careers/,,BI Software,70,80,55
Catawiki (Berlin),Germany,recruitee,https://vacancies.recruitee.com/,catawiki,E-Commerce,75,85,60
Kaufland e-com,Germany,official_careers,https://kaufland-ecommerce.com/karriere/jobs/,,E-Commerce,75,80,40
Freeletics (Berlin),Germany,official_careers,https://www.freeletics.com/en/corporate/jobs/,,Fitness,75,90,85
lemon.markets (Berlin),Germany,ashby,https://jobs.ashbyhq.com/lemon-markets,lemon-markets,Fintech,80,90,70
About You,Germany,official_careers,https://corporate.aboutyou.de/en/career/jobs,,Fashion,75,85,50
Buena,Germany,official_careers,https://buena.com/careers,,PropTech,70,80,55
Ecosia,Germany,official_careers,https://explore.ecosia.org/jobs,,Search,75,90,55
Bonial,Germany,recruitee,https://bonial.recruitee.com/,bonial,Retail Media,75,80,40
reisetopia,Germany,official_careers,https://reisetopia.de/jobs/,,Travel,70,85,75
adjoe,Germany,official_careers,https://adjoe.io/careers/open-positions/,,AdTech,75,85,55
KONUX,Germany,official_careers,https://konux.com/vacancies/,,Industrial IoT,75,85,40
limehome,Germany,official_careers,https://career.limehome.de/careerslimehome-tz49z,,Hospitality,70,80,40
Highsnobiety,Germany,official_careers,https://company.highsnobiety.com/jobs,,Fashion Media,70,85,60
QuantumDiam,Germany,personio,https://quantum-diamond.jobs.personio.de/,quantum-diamond,Quantum Tech,70,80,30
NavVis,Germany,official_careers,https://www.navvis.com/company/careers,,3D Mapping,75,85,40
Anymind Group,Germany,official_careers,https://anymindgroup.com/career/,,AdTech,70,80,55
Nexthink (Germany),Germany,official_careers,https://nexthink.com/company/careers/jobs,,Digital Workplace,75,85,55
Appodeal,Germany,official_careers,https://appodeal.com/career/,,AdTech,70,80,50
# ── Ireland ─────────────────────────────────────────────────────────────────,,,,,,,,
HubSpot,Ireland,greenhouse,https://www.hubspot.com/careers/jobs/all?page=1,hubspot,SaaS,90,95,70
# ── United Kingdom ──────────────────────────────────────────────────────────,,,,,,,,
Wise,United Kingdom,official_careers,https://wise.jobs/jobs,wise,Fintech,85,95,80
Anvil,United Kingdom,bamboohr,https://anvil.bamboohr.com/careers,anvil,Legal Tech,70,85,60
Recraft,United Kingdom,ashby,https://jobs.ashbyhq.com/recraft,recraft,AI,70,90,75
Rebellion,United Kingdom,workable,https://apply.workable.com/rebellion/,rebellion,Gaming,75,85,40
Octagon Group,United Kingdom,official_careers,https://www.octagon.com/job/,,Recruitment,70,90,50
# ── Estonia ────────────────────────────────────────────────────────────────,,,,,,,,
Wise,Estonia,official_careers,https://wise.jobs/jobs,wise,Fintech,85,95,80
# ── Netherlands (additions) ────────────────────────────────────────────────,,,,,,,,
GO Sharing,Netherlands,official_careers,https://go-sharing.com,,Mobility,75,80,40
ParkBee,Netherlands,official_careers,https://careers.parkbee.com,,PropTech,75,85,45
Insify,Netherlands,official_careers,https://careers.insify.nl/#jobs,,InsurTech,75,85,70
GreenFlux,Netherlands,recruitee,https://greenflux.recruitee.com,greenflux,EV Charging,75,85,45
Inverid (ReadID),Netherlands,official_careers,https://inverid.com/careers,,Identity Tech,75,90,40
Doctolib,Netherlands,official_careers,https://careers.doctolib.com/jobs/,,HealthTech,80,85,50
