name,careers_url,provider,board_slug,source_type,target_country,scope_policy,industry,sponsorship_history,english_friendly,remote_score,notes
Adyen,https://job-boards.greenhouse.io/adyen,greenhouse,adyen,direct_employer,Global,global,Fintech,90,95,65,
Anthropic,https://job-boards.greenhouse.io/anthropic,greenhouse,anthropic,direct_employer,Global,global,AI,80,95,75,verified: 608 jobs; seed row was labelled 'Greenhouse'
Astroscale,https://astroscale.bamboohr.com/careers?source=LinkedIn,bamboohr,astroscale,direct_employer,Global,global,Space,60,80,30,verified: 48 jobs (FIX P0-19 adapter)
Autodesk,https://autodesk.wd1.myworkdayjobs.com/Ext,workday,autodesk/Ext,direct_employer,Global,global,Software,80,85,60,FIX P0-20: workday API adapter
Avomind,https://apply.workable.com/avomind/,workable,avomind,direct_employer,Global,global,Recruitment,70,80,35,
Backbase,https://job-boards.greenhouse.io/workatbackbase,greenhouse,workatbackbase,direct_employer,Global,global,SaaS,80,85,60,
BambooHR,https://job-boards.greenhouse.io/bamboohr17,greenhouse,bamboohr17,direct_employer,Global,global,HR Tech,75,90,80,
Bol.com,https://job-boards.greenhouse.io/bolcomen,greenhouse,bolcomen,direct_employer,Global,global,E-Commerce,80,85,60,
Bonial,https://bonial.recruitee.com/,recruitee,bonial,direct_employer,Global,global,Retail Media,75,80,45,
Brain Rocket,https://brainrocket.bamboohr.com/careers/,bamboohr,brainrocket,direct_employer,Global,global,iGaming/Tech,60,85,40,"verified 2026-09-18: API reachable, 0 open postings"
Brevo,https://jobs.lever.co/brevo,lever,brevo,direct_employer,Global,global,SaaS,80,85,60,
Cargo.one,https://jobs.ashbyhq.com/cargo-one,ashby,cargo-one,direct_employer,Global,global,Logistics Tech,85,90,95,
Contentful,https://boards.greenhouse.io/contentful,greenhouse,contentful,direct_employer,Global,global,SaaS,85,90,75,
Crealytics,https://crealytics.jobs.personio.de/,personio,crealytics,direct_employer,Global,global,MarTech,80,85,60,"verified 2026-09-15: API reachable, 0 open postings"
Delivery Hero,https://careers.smartrecruiters.com/DeliveryHero,smartrecruiters,DeliveryHero,direct_employer,Global,global,Food Tech,80,85,55,FIX P0-20: smartrecruiters API adapter
Ecosia,https://jobs.ashbyhq.com/ecosia.org,ashby,ecosia.org,direct_employer,Global,global,Search,75,90,65,"verified 2026-09-15: API reachable, 0 open postings"
EMBL,https://embl.wd103.myworkdayjobs.com/EMBL,workday,embl/EMBL,direct_employer,Europe,job_location,Research/Science,85,95,30,"Workday - no API adapter, DOM path; FIX P0-20: workday API adapter"
Figma,https://www.figma.com/careers/#job-openings,greenhouse,figma,direct_employer,Global,global,Design,85,95,75,
GMV,https://gmv.csod.com/ux/ats/careersite/4/home?c=gmv&lang=en-US,auto,,direct_employer,Global,global,Aerospace/Defense,40,70,35,"Cornerstone (csod) - no API adapter, DOM path"
Improbable,https://jobs.ashbyhq.com/Improbable,ashby,Improbable,direct_employer,Global,global,Gaming/AI,80,90,65,
Incident.io,https://jobs.ashbyhq.com/incident,ashby,incident,direct_employer,Global,global,SaaS,80,95,85,
InnoGames,https://jobs.eu.lever.co/innogames,lever,innogames,direct_employer,Global,global,Gaming,80,85,60,EU-resident board (api.eu.lever.co)
Jobandtalent,https://jobs.lever.co/jobandtalent/,lever,jobandtalent,direct_employer,Global,global,HR Tech,70,80,55,
Lemon Markets,https://jobs.ashbyhq.com/lemon-markets,ashby,lemon-markets,direct_employer,Global,global,Fintech,80,85,65,
Leonardo,https://leonardocompany.wd3.myworkdayjobs.com/LeonardoCareerSite,workday,leonardocompany/LeonardoCareerSite,direct_employer,Global,global,Aerospace/Defense,25,65,50,FIX P0-20: workday API adapter
Linear,https://jobs.ashbyhq.com/Linear,ashby,Linear,direct_employer,Global,global,Developer Tools,80,95,85,
Luno,https://job-boards.greenhouse.io/luno,greenhouse,luno,direct_employer,Global,global,Crypto,80,90,70,
Mapbox,https://jobs.ashbyhq.com/mapbox,ashby,mapbox,direct_employer,Global,global,GeoTech,80,90,75,
Mendix,https://jobs.lever.co/mendix,lever,mendix,direct_employer,Global,global,SaaS,80,85,60,
Mentimeter,https://job-boards.eu.greenhouse.io/mentimeter,greenhouse,mentimeter,direct_employer,Global,global,EdTech,75,90,70,
Mistral AI,https://jobs.ashbyhq.com/mistral.ai,ashby,mistral.ai,direct_employer,Global,global,AI,80,95,70,verified: 193 jobs
Mixpanel,https://job-boards.greenhouse.io/mixpanel,greenhouse,mixpanel,direct_employer,Global,global,Analytics,80,90,80,
Monzo,https://job-boards.greenhouse.io/monzo,greenhouse,monzo,direct_employer,Global,global,Fintech,90,95,70,
