name,careers_url,provider,board_slug,source_type,target_country,scope_policy,industry,sponsorship_history,english_friendly,remote_score,notes
ABN AMRO,https://www.werkenbijabnamro.nl/en/vacancies,auto,,direct_employer,Global,global,Banking,75,75,45,
About You,https://corporate.aboutyou.de/en/career/jobs,auto,,direct_employer,Global,global,Fashion,75,85,55,
Action Italia Post,https://it.action.jobs/offerte-di-lavoro/negozio,auto,,direct_employer,Italy,seed_url,Retail/Discount,10,45,10,user-added sub-URL (344 jobs live); extractor fix H1 in this patch
adjoe,https://adjoe.io/careers/open-positions/,auto,,direct_employer,Global,global,AdTech,75,85,60,
Airbyte,https://airbyte.com/company/careers#open-roles,ashby,airbyte,direct_employer,Global,global,Data,80,95,80,
Amazon Italia,https://www.amazon.jobs/content/en/locations/italy,auto,,direct_employer,Italy,seed_url,Logistics/E-commerce,30,75,75,
American Express,https://careers.americanexpress.com/en/sites/CX_1/jobs?mode=location,oracle,,direct_employer,Global,global,Finance,70,80,55,
Angelini Pharma,https://careers.angelinipharma.com/search/?createNewAlert=false&q=&optionsFacetsDD_customfield2=,auto,,direct_employer,Global,global,Pharma/Healthcare,30,70,50,
Anymind Group,https://anymindgroup.com/career/#positions,auto,,direct_employer,Global,global,AdTech,70,80,55,
Appodeal,https://appodeal.com/career/,greenhouse,appodeal,direct_employer,Global,global,AdTech,70,80,55,
Artsana Group,https://www.artsana.com/hr-careers/,auto,,direct_employer,Italy,seed_url,Retail/Baby,5,35,10,Italy batch 2026-09-13 (Chicco/Prenatal)
ASML,https://www.asml.com/en/careers/find-your-job,auto,,direct_employer,Global,global,Engineering,85,85,60,
Audible,https://www.audiblecareers.com/search-jobs,auto,,direct_employer,Global,global,Media,80,85,60,
Autogrill,https://autogrill.intervieweb.it/it/career,auto,,direct_employer,Italy,seed_url,Hospitality/Travel catering,10,45,10,"Italy batch 2026-09-13 (150+ posizioni); seed v2 2026-09-13: PV board (landing was empty); seed v3 2026-09-14: public IntervieWEB board, 11 pages baristi/addetti (PV page is cross-origin iframe)"
Babbel,https://jobs.babbel.com/en?size=n_100_n,ashby,Babbel,direct_employer,Global,global,EdTech,80,85,60,seed v2 2026-09-13: kept user URL edit
Barilla Group,https://jobs.barillagroup.com/search,auto,,direct_employer,Global,global,Food/Manufacturing,35,75,55,
Belmond,https://careers.belmond.com/jobs?country=United+Kingdom,auto,,direct_employer,Global,global,Hospitality,20,85,10,
Bolt,https://bolt.eu/en/careers/positions/,auto,,direct_employer,Global,global,Mobility,75,85,60,
Booking.com,https://jobs.booking.com/booking/jobs,auto,,direct_employer,Global,global,Travel,85,90,45,
Buena,https://buena.com/careers,ashby,Buena,direct_employer,Global,global,PropTech,70,80,55,
Bulgari Hotels & Resorts,https://bulgari.recruitmentplatform.com/FO/PCAFK026203F3VBQB798N7V11/index.html?languageSelect=EN,auto,,direct_employer,Global,global,Hospitality,20,80,10,
Bunq,https://careers.bunq.com/positions,auto,,direct_employer,Global,global,Fintech,80,85,60,
Bynder,https://careers.bynder.com/openings/,ashby,Bynder,direct_employer,Global,global,SaaS,75,90,70,
Caeli Wind,https://www.caeli-wind.de/karriere#stellenangebote,auto,,direct_employer,Global,global,CleanTech,70,75,50,
Cal.com,https://cal.com/jobs,auto,,direct_employer,Global,global,SaaS,75,95,100,
Camst Group,https://career012.successfactors.eu/career?company=CAMST&career%5fns=job%5flisting%5fsummary&navBarLevel=JOB%5fSEARCH&_s.crb=SdEmRcXbyXo%2f2%2f1o5AFD%2bvvFdznL0lMLSyZlr82aWSc%3d,auto,,direct_employer,Italy,seed_url,Catering/Collective,5,30,10,Italy batch 2026-09-13 (28 posizioni: mense/cuochi); seed v2 2026-09-13: kept user URL edit
Carrefour Italia Negozi,https://lavoraconnoi.carrefour.it/offertedilavoro,auto,,direct_employer,Italy,seed_url,Retail/Supermarket,5,35,10,Italy batch 2026-09-13 (JS portal); seed v2 2026-09-13: kept user URL edit
Catawiki,https://job-boards.greenhouse.io/catawiki,greenhouse,catawiki,direct_employer,Global,global,E-Commerce,75,85,60,
Celonis,https://careers.celonis.com/join-us/open-positions,auto,,direct_employer,Global,global,Enterprise,80,85,60,
Chef Express,https://www.chefexpress.it/punto-vendita/CENTRO/LAZIO/,auto,,direct_employer,Italy,seed_url,Hospitality/Catering,5,35,10,Italy batch 2026-09-13; seed v2 2026-09-13: kept user URL edit
Chef Express HQ,https://careerstaffservicesrlgruppocremonini.sites.altamiraweb.com/,auto,,direct_employer,Italy,seed_url,Hospitality/Catering,10,45,10,user-added Altamira board (17 rows run5)
Choco,https://choco.com/us/careers/open-roles,ashby,Choco,direct_employer,Global,global,Food Tech,80,85,60,
Cigierre Group,https://lavoraconnoi.cigierre.com/jobs,auto,,direct_employer,Italy,seed_url,Hospitality/Restaurants,5,35,10,"Italy batch 2026-09-13 (Old Wild West etc, ~280 posizioni); seed v2 2026-09-13: kept user URL edit"
CIR Food,https://www.cirfood.com/it/lavora-con-noi,auto,,direct_employer,Italy,seed_url,Catering/Collective,5,30,10,Italy batch 2026-09-13 (browser-only: curl 403; listings confirmed)
Cisalfa Sport,https://recruiting.cisalfagroup.com/jobs.php,auto,,direct_employer,Italy,seed_url,Retail/Sports,5,35,10,Italy batch 2026-09-13 (155 stores; ATS direct)
ClearVue,https://clearvue.business/careers/,auto,,direct_employer,Global,global,BI Software,70,80,55,
Conad,https://chisiamo.conad.it/lavora-con-noi/posizioni-aperte,auto,,direct_employer,Global,global,Retail/Supermarket,20,60,65,
Coop Italia,https://lavoro.coopalleanza3-0.it/jobs.php,auto,,direct_employer,Italy,seed_url,Retail/Supermarket,20,60,70,
Databricks,https://www.databricks.com/company/careers/open-positions,auto,,direct_employer,Global,global,Data/AI,85,95,75,
Dbt Labs,https://www.getdbt.com/about-us/careers#roles,auto,,direct_employer,Global,global,SasS,80,95,85,
Decathlon Italia Retail,https://lavoraconnoi.decathlon-careers.it/it/annonces,digitalrecruiters,lavoraconnoi.decathlon-careers.it,direct_employer,Italy,seed_url,Retail/Sports,25,70,65,Batch N: DR POST API adapter (159 jobs live 2026-09-12)
Deliveroo,https://careers.deliveroo.co.uk/join-the-team/,auto,,direct_employer,Global,global,Food Tech,80,90,55,
Detectify,https://careers.detectify.com/#jobs,auto,,direct_employer,Global,global,Cybersecurity,75,90,70,
DevsData,https://devsdata.com/careers/,auto,,recruiter,Global,global,Recruitment,70,80,35,
Doctolib,https://careers.doctolib.com/jobs/,auto,,direct_employer,Global,global,HealthTech,80,85,55,
Doist,https://www.todoist.com/careers#open-roles,auto,,direct_employer,Global,global,Productivity,70,95,100,Rebranded Doist -> Todoist; no public ATS API (verified 2026-09-11)
Eataly Italia,https://eataly.intervieweb.it/it/career,auto,,direct_employer,Italy,job_location,Retail/Hospitality,10,60,10,seed v3 2026-09-14: Italy IntervieWEB board (was US-platform URL); job_location filters Paris/London rows
Elastic Finance,"https://jobs.elastic.co/jobs/department/finance,-it-&-operations?size=n_20_n",auto,,direct_employer,Global,global,Search/Cloud,85,95,85,
Elastic Marketing,https://jobs.elastic.co/jobs/department/marketing?size=n_20_n,auto,,direct_employer,Global,global,Search/Cloud,85,95,85,
Elastic Sales,https://jobs.elastic.co/jobs/department/field-operations?size=n_20_n,auto,,direct_employer,Global,global,Search/Cloud,85,95,85,
Elior Italia,https://elior-italia.profils.org/job/list-of-jobs.aspx,auto,,direct_employer,Italy,seed_url,Catering/Collective,5,35,10,Italy batch 2026-09-13; seed v2 2026-09-13: kept user URL edit
Enel,https://jobs.enel.com/en_US/careers/JobOpeningsItaly,auto,,direct_employer,Italy,seed_url,Energy/Utilities,45,75,65,
Eni,https://www.eni.com/en-IT/careers.html,auto,,direct_employer,Global,global,Energy,35,70,60,
Esselunga,https://esselungajob.it/go/Risultati_Ricerca/4414201/,auto,,direct_employer,Global,global,Retail/Supermarket,20,60,65,
Eurospin,https://www.eurospin.it/posizioni-aperte-in-sede/,auto,,direct_employer,Global,global,Retail/Supermarket,15,55,60,
Exact,https://www.exact.com/nl/werken-bij/vacatures,auto,,direct_employer,Global,global,ERP,75,80,40,
Exness,https://www.exness-careers.com/jobs/,auto,,direct_employer,Global,global,Fintech,75,85,65,
Factorial,https://careers.factorialhr.com/,auto,,direct_employer,Global,global,HR Tech,75,85,65,
Ferrero,https://www.ferrerocareers.com/int/en/jobs,auto,,direct_employer,Global,global,Food/Manufacturing,30,70,50,
Flix,https://flix.careers/jobs/,auto,,direct_employer,Global,global,Mobility,80,85,60,
Forto,https://careers.forto.com/forto-jobs/,ashby,Forto,direct_employer,Global,global,Logistics,75,80,55,
Freeletics,https://www.freeletics.com/en/corporate/,auto,,direct_employer,Global,global,Health Tech,80,85,60,
FS Italiane / Trenitalia,https://fscareers.gruppofs.it/jobs.php,auto,,direct_employer,Global,global,Transport/Logistics,25,60,55,
Generali,https://gogenerali.com/home/jobs,auto,,direct_employer,Global,global,Insurance,25,70,60,
Glovo,https://careers.glovoapp.com/jobs-at-glovo/,auto,,direct_employer,Global,global,Delivery,75,80,45,
Gruppo UNA,https://hdix.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/it/sites/CX_1/jobs?mode=location,auto,,direct_employer,Italy,seed_url,Hospitality,5,50,5,
Harnham Germany,https://www.harnham.com/job-search/,auto,,recruiter,Germany,job_location,Recruitment,70,80,40,
Hays Germany,https://www.hays.de/jobsuche/stellenangebote-jobs/p/1?q=&e=false&pt=false&ij=false,auto,,recruiter,Germany,seed_url,Recruitment,70,75,35,
HelloFresh,https://careers.hellofresh.com/global/en/search-results,greenhouse,hellofresh,direct_employer,Global,global,Food Tech,80,85,45,
Highsnobiety,https://company.highsnobiety.com/jobs,auto,,direct_employer,Global,global,Fashion Media,70,85,60,
HubSpot,https://www.hubspot.com/careers/jobs/all?page=1,auto,,direct_employer,Global,global,SaaS,85,95,75,
Huxley Netherlands,https://www.huxley.com/en-nl/job-search/?country=Netherlands&searchRadius=50km,auto,,recruiter,Netherlands,seed_url,Recruitment,70,85,35,
Ikea Italia,https://jobs.ikea.com/en/search-jobs?k=&l=&orgIds=22908,auto,,direct_employer,Europe,job_location,Retail/Furniture,25,70,60,
ING,https://careers.ing.com/en/search-jobs,auto,,direct_employer,Global,global,Banking,80,80,50,
Intesa Sanpaolo,https://jobs.intesasanpaolo.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_facility=&optionsFacetsDD_country=&optionsFacetsDD_department=&optionsFacetsDD_customfield1=,auto,,direct_employer,Global,global,Banking/Finance,25,65,60,
Kaufland e-com,https://kaufland-ecommerce.com/karriere/jobs/,auto,,direct_employer,Global,global,E-Commerce,75,80,45,
Kelly Services Germany,https://careers.kellyocg.com/search,auto,,recruiter,Germany,job_location,Recruitment,70,75,30,
King,https://careers.king.com/us/en/search-results,auto,,direct_employer,Global,global,Gaming,80,90,60,
Klarna,https://jobs.deel.com/job-boards/klarna,auto,,direct_employer,Global,global,Fintech,85,90,65,
KONUX,https://konux.com/vacancies/,greenhouse,KONUX,direct_employer,Global,global,Industrial IoT,75,85,45,
KPN,https://jobs.kpn.com/en/vacancies,auto,,direct_employer,Global,global,Telecom,75,80,55,
La Fosse,https://www.lafosse.com/jobs/,auto,,recruiter,Global,global,Recruitment,70,85,40,Batch M: seed pointed at homepage (0 jobs); jobs board verified live 2026-09-12
Lavazza,https://jobs.lavazza.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_country=&optionsFacetsDD_department=&optionsFacetsDD_title=,auto,,direct_employer,Global,global,Food/Manufacturing,30,70,55,
Leroy Merlin Italia,https://lavoro.leroymerlin.it/jobs,auto,,direct_employer,Italy,seed_url,Retail/DIY,10,40,10,Italy batch 2026-09-13 (185+ offerte)
Lidl Italia,https://lavoro.lidl.it/annunci-di-lavoro,auto,,direct_employer,Global,global,Retail/Supermarket,20,60,65,
Lightspeed,https://www.lightspeedhq.com/careers/openings/,ashby,Lightspeed,direct_employer,Global,global,SaaS,80,85,65,
limehome,https://career.limehome.de/careerslimehome-tz49z,auto,,direct_employer,Global,global,Hospitality,70,80,45,
Luxottica,https://careers.essilorluxottica.com/search/?createNewAlert=false&q=&optionsFacetsDD_country=&optionsFacetsDD_customfield1=&optionsFacetsDD_customfield2=&optionsFacetsDD_customfield3=&optionsFacetsDD_customfield4=,auto,,direct_employer,Global,global,Fashion/Retail,40,75,55,
McDonald's Italia,https://www.mcdonalds.it/lavora-con-noi/posizioni-aperte,auto,,direct_employer,Italy,seed_url,Hospitality/Fast Food,20,60,60,
